,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2021 Audi Q5 - 45 Premium,img.autobytel.com/2021/audi/q5/2-550-oem-exterior-front1300-96899.jpg,"47,800",2021 Audi Q5,7,261,18.5,23,28,5,Premium Unleaded,65.4,184.6,74.5,111.0
2020 Audi Q5 - AWD,img.autobytel.com/2020/audi/q5/2-550-oemexteriorfront1300-92699.JPG,"43,300",2020 Audi Q5,7,248,18.5,22,28,5,Premium Unleaded,65.3,183.6,74.5,111.0
2020 Audi Q5 - Titanium,img.autobytel.com/2020/audi/q5/2-550-oemexteriorfront1300-93808.JPG,"43,300",2020 Audi Q5,7,248,18.5,22,28,5,Premium Unleaded,65.3,183.6,74.5,111.0
2019 Audi Q5 - 2.0T Premium,img.autobytel.com/2019/audi/q5/2-550-oemexteriorfront1300-89674.jpg,"42,950",2019 Audi Q5,7,248,18.5,22,27,5,Premium Unleaded,65.3,183.6,74.5,111.0
2018 Audi Q5 - 2.0T Premium,img.autobytel.com/2018/audi/q5/2-550-oemexteriorfront1300-83310.jpg,"41,500",2018 Audi Q5,7,252,18.5,23,27,5,Premium Unleaded,65.3,183.6,74.5,111.0
2018 Audi Q5 - Tech,img.autobytel.com/2018/audi/q5/2-550-oemexteriorfront1300-87350.jpg,"44,100",2018 Audi Q5,7,252,18.5,23,27,5,Premium Unleaded,65.3,183.6,74.5,111.0
2017 Audi Q5 - 2.0T,img.autobytel.com/2017/audi/q5/2-550-oemexteriorfront1300-80658.jpg,"40,900",2017 Audi Q5,8,220,19.8,20,27,5,Premium Unleaded,65.2,182.6,74.7,110.5
2017 Audi Q5 - 3.0T Plus,img.autobytel.com/2017/audi/q5/2-550-oemexteriorfront1300-80659.jpg,"46,400",2017 Audi Q5,8,272,19.8,18,26,5,Premium Unleaded,65.2,182.6,74.7,110.5
2016 Audi Q5 - 2.0T,img.autobytel.com/2016/audi/q5/2-550-oemexteriorfront1300-77070.jpg,"40,900",2016 Audi Q5,,,19.8,,,,Premium Unleaded,,,,"2,807mm (110.5"
2016 Audi Q5 - 3.0T Plus,img.autobytel.com/2016/audi/q5/2-550-oemexteriorfront1300-77071.jpg,"46,000",2016 Audi Q5,,,19.8,,,,Premium Unleaded,,,,"2,807mm (110.5"
2016 Audi Q5 - 3.0 TDI Plus,img.autobytel.com/2016/audi/q5/2-550-oemexteriorfront1300-77072.jpg,"48,100",2016 Audi Q5,,,19.8,,,,Diesel,,,,"2,807mm (110.5"
2015 Audi Q5 - 2.0T,img.autobytel.com/2015/audi/q5/3-550-091614%202015%20audi%20q5-74140.jpg,"39,300",2015 Audi Q5,8,220,19.8,20,28,5,Premium Unleaded,65.2,182.6,74.7,110.5
2015 Audi Q5 - 3.0T Plus,img.autobytel.com/2015/audi/q5/3-550-091614%202015%20audi%20q5-74141.jpg,"45,400",2015 Audi Q5,8,272,19.8,18,26,5,Premium Unleaded,65.2,182.6,74.7,110.5
2015 Audi Q5 - 3.0 TDI Plus,img.autobytel.com/2015/audi/q5/3-550-091614%202015%20audi%20q5-74142.jpg,"47,500",2015 Audi Q5,8,240,19.8,24,31,5,Diesel,65.2,182.6,74.7,110.5
2014 Audi Q5 - 2.0T Premium,img.autobytel.com/2014/audi/q5/3-550-060314%20audi%20q5%202014-71090.jpg,"37,300",2014 Audi Q5,8,220,19.8,20,28,5,Premium Unleaded,65.2,182.6,74.7,110.5
2014 Audi Q5 - 3.0T Premium Plus,img.autobytel.com/2014/audi/q5/3-550-060314%20audi%20q5%202014-71091.jpg,"44,400",2014 Audi Q5,8,272,19.8,18,26,5,Premium Unleaded,65.2,182.6,74.7,110.5
2014 Audi Q5 - 3.0 TDI Premium Plus,img.autobytel.com/2014/audi/q5/3-550-060314%20audi%20q5%202014-71092.jpg,"46,500",2014 Audi Q5,8,240,19.8,24,31,5,Diesel,65.2,182.6,74.7,110.5
2012 Audi Q5 - 2.0T Premium (Tiptronic),img.autobytel.com/2012/audi/q5/2-550-oemexteriorfront-66360.jpg,"35,600",2012 Audi Q5,8,211,19.8,20,27,5,Premium Unleaded,65.1,182.2,74.7,110.5
2012 Audi Q5 - 3.2 Premium Plus (Tiptronic),img.autobytel.com/2012/audi/q5/2-550-oemexteriorfront-66361.jpg,"43,000",2012 Audi Q5,6,270,19.8,18,23,5,Premium Unleaded,65.1,182.2,74.7,110.5
2011 Audi Q5 - 2.0T,img.autobytel.com/2011/audi/q5/2-550-oemexteriorfront-63817.jpg,"35,200",2011 Audi Q5,8,211,19.8,20,27,5,Premium Unleaded,65.1,182.2,74.0,110.5
2011 Audi Q5 - 3.2 Plus,img.autobytel.com/2011/audi/q5/2-550-oemexteriorfront-63818.jpg,"42,500",2011 Audi Q5,6,270,19.8,18,23,5,Premium Unleaded,65.1,182.2,74.0,110.5
2010 Audi Q5 - Base,img.autobytel.com/2010/audi/q5/2-550-oemexteriorfront-53050.jpg,"37,350",2010 Audi Q5,,,19.8,,,,Premium Unleaded,,,,"2,807mm (110.5"
2009 Audi Q5 - Base,img.autobytel.com/2009/audi/q5/2-550-oemexteriorfront-51631.jpg,"37,200",2009 Audi Q5,,,19.8,,,,Premium Unleaded,,,,"2,807mm (110.5"
2023 Audi TTS - 2.0T,img.autobytel.com/2023/audi/tts/2-550-oem-exterior-front1300-100601.jpg,"61,900",2023 Audi TTS,7,288,14.5,23,31,4,Premium Unleaded,53.3,165.0,72.1,98.6
