,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2022 Porsche 911 - Carrera 4 GTS AWD Coupe,144000.0,8.0,473.0,17.6,17.0,23.0,4.0,50.9,178.5,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98527.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera 4 GTS AWD Cabriolet,156800.0,8.0,473.0,17.6,17.0,22.0,4.0,50.8,178.5,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98528.jpg,2022 Porsche 911,2022
2022 Porsche 911 - GT3 w/Touring Package RWD Coupe,161100.0,6.0,502.0,16.9,14.0,18.0,2.0,50.4,180.0,72.9,96.7,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98529.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Targa 4 GTS AWD Coupe,156800.0,8.0,473.0,17.6,17.0,22.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98530.jpg,2022 Porsche 911,2022
2021 Porsche 911 - Coupe,203500.0,8.0,640.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2021/porsche/911/2-550-oemexteriorfront1300-94139.JPG,2021 Porsche 911,2021
2021 Porsche 911 - Cabriolet,216300.0,8.0,640.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2021/porsche/911/2-550-oemexteriorfront1300-94140.JPG,2021 Porsche 911,2021
2021 Porsche 911 - 0dr Coupe,170800.0,8.0,572.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2021/porsche/911/2-550-oem-exterior-front1300-95667.jpg,2021 Porsche 911,2021
2021 Porsche 911 - 0dr Cabriolet,183600.0,8.0,572.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2021/porsche/911/2-550-oem-exterior-front1300-95668.jpg,2021 Porsche 911,2021
2021 Porsche 911 - RWD 2dr Coupe,99200.0,8.0,379.0,16.9,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2021/porsche/911/2-550-oem-exterior-front1300-95669.jpg,2021 Porsche 911,2021
2021 Porsche 911 - S RWD 2dr Coupe,115100.0,8.0,443.0,16.9,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2021/porsche/911/2-550-oem-exterior-front1300-95670.jpg,2021 Porsche 911,2021
